"id","name","streetAddress","city","state","country","postal"
"on-public:B66311:901539","École secondaire publique Marc-Garneau","30 Fullerton avenue","Trenton","Ontario","Canada","K8V 1E4"
"on-public:B66311:930144","École secondaire publique Maurice-Lapointe","17 BRIDGESTONE DR","KANATA","Ontario","Canada","K2M 0E9"
"on-public:B66311:907472","École secondaire publique Mille-Iles","158 Patrick rue","Kingston","Ontario","Canada","K7K 3P5"
"on-public:B28100:946117","École secondaire publique Nipissing Ouest","175 Ethel rue","Sturgeon Falls","Ontario","Canada","P2B 2Z8"
"on-public:B28100:909335","École secondaire publique Odyssée","480 Norman ave","North Bay","Ontario","Canada","P1B 0A8"
"on-public:B66311:907421","École secondaire publique Omer-Deslauriers","159 Chesterton promenade","Ottawa","Ontario","Canada","K2E 7E6"
"on-public:B66311:890139","École secondaire publique Pierre-de-Blois","1310 Chapman Mills Drive","Nepean","Ontario","Canada","K2J 6L9"
"on-public:B66311:903237","École secondaire publique Rivière-Rideau","830 Heritage Boulevard","Kemptville","Ontario","Canada","K0G 1J0"
"on-public:B66311:945735","École secondaire publique Rockland","927 St Jean Street","Rockland","Ontario","Canada","K4K 1P4"
"on-public:B28100:922870","École secondaire Renaissance","301 Shirley N rue","Timmins","Ontario","Canada","P4R 1N5"
"on-public:B66303:925326","École secondaire Roméo Dallaire","736 Essa chemin","Barrie","Ontario","Canada","L4N 9E9"
"on-public:B66303:901037","École secondaire Ronald-Marion","2235 Brock chemin","Pickering","Ontario","Canada","L1V 2P8"
"on-public:B66303:907588","École secondaire Étienne-Brûlé","300 Banbury chemin","North York","Ontario","Canada","M2L 2V3"
"on-public:B66303:952803","École secondaire Toronto Ouest","330 Lansdowne avenue","Toronto","Ontario","Canada","M6H 3Y1"
"on-public:B28118:965570","École secondaire Villa Française des Jeunes","11 Edinburgh ch","Elliot Lake","Ontario","Canada","P5A 2M3"
"on-public:B66303:918997","Collège français secondaire","100 Carlton rue","Toronto","Ontario","Canada","M5B 1M3"
"on-public:B29122:698989","Collège Notre-Dame","100 Lévis rue","Sudbury","Ontario","Canada","P3C 2H1"
"on-public:B66044:902420","College Avenue Secondary School","700 College Ave","Woodstock","Ontario","Canada","N4S 2C8"
"on-public:B66109:902551","Collingwood Collegiate Institute","6 Cameron St","Collingwood","Ontario","Canada","L9Y 2J2"
"on-public:B66184:902586","Colonel By Secondary School","2381 Ogilvie Rd","Gloucester","Ontario","Canada","K1J 7N4"
"on-public:B28029:895237","Confederation Secondary School","1918 Main Street","Val Caron","Ontario","Canada","P3N 1B4"
"on-public:B66052:902640","Contact Alternative School School","Suite Third Floor, 132 Saint Patrick St","Toronto","Ontario","Canada","M5T 1V1"
"on-public:B66192:902810","Cornwall Collegiate and Vocational School","437 Sydney Street","Cornwall","Ontario","Canada","K6H 3H9"
"on-public:B67113:761182","Corpus Christi Catholic Secondary School","5150 UPPER MIDDLE RD","BURLINGTON","Ontario","Canada","L7L 0E5"
"on-public:B66079:903078","Courtice Secondary School","Nash Rd & Courtice Rd","Courtice","Ontario","Canada","L1E 2L8"
"on-public:B66133:967740","Craig Kielburger Secondary School","1151 Ferguson Drive","Milton","Ontario","Canada","L9T 7V8"
"on-public:B66079:903337","Crestwood Secondary School","1885 Sherbrooke St","Peterborough","Ontario","Canada","K9J 6X4"
"on-public:B28045:902748","Crolancia Secondary School","1 Trudel Drive","Pickle Lake","Ontario","Canada","P0V 3A0"
