"id","name","boardName","schoolSpecialConditions","streetAddress","city","state","country","postal"
"on-provider:B66206:987735","Gould Lake Outdoor Education Centre","Limestone DSB","Summer","2860 Rutledge Road","Sydenham","Ontario","Canada","K0H 2T0"
"on-provider:B66168:995712","Grand Erie Learning Alternatives Adult","Grand Erie DSB","Continuing Education","365 Rawdon Street","Brantford","Ontario","Canada","N3S 6J3"
"on-provider:B66168:996667","Grand Erie Learning Alternatives FLP","Grand Erie DSB","Continuing Education","365 Rawdon Street","Brantford","Ontario","Canada","N3S 6J3"
"on-provider:B66168:992268","Grand Erie Learning Alternatives ILC","Grand Erie DSB","Continuing Education","112 Tollgate Road","Brantford","Ontario","Canada","N3R 4Z6"
"on-provider:B66168:991384","Grand Erie Learning Alternatives Night School","Grand Erie DSB","Continuing Education","365 Rawdon St","Brantford","Ontario","Canada","N3S 6J3"
"on-provider:B66168:998865","Grand Erie Learning Alternatives PSW","Grand Erie DSB","Continuing Education","Suite Lower Level, 1 Marker Street, Market Square","Brantford","Ontario","Canada","N3T 6C8"
"on-provider:B66168:980110","Grand Erie Learning Alternatives Summer School","Grand Erie DSB","Summer","365 Rawdon St","Brantford","Ontario","Canada","N3S 6J3"
"on-provider:B66028:999423","Greater Essex County DSB Adult Ed Night School","Greater Essex County DSB","Continuing Education","Suite Mason Educational Centre, 284 Cameron Ave","Windsor","Ontario","Canada","N9B 1Y6"
"on-provider:B66028:980200","Greater Essex County DSB Summer School","Greater Essex County DSB","Summer","284 Cameron Ave","Windsor","Ontario","Canada","N9B 1Y6"
"on-provider:B67113:993670","Halton RCSSB Night School","Halton CDSB","Continuing Education","171 Speers Road","Oakville","Ontario","Canada","L6K 3W8"
"on-provider:B67113:980676","Halton RCSSB Summer School Program","Halton CDSB","Summer","PO Box Box 308, 802 Drury Lane","Burlington","Ontario","Canada","L7R 2Y2"
"on-provider:B67121:997668","Hamilton-Wentworth CDSB Sec Night","Hamilton-Wentworth CDSB","Continuing Education","45 Young St","Hamilton","Ontario","Canada","L8N 1V1"
"on-provider:B66222:980005","Hastings & Prince Edward DSB Summer School","Hastings & Prince Edward DSB","Summer","Suite c/o Education Centre, 156 Ann St","Belleville","Ontario","Canada","K8N 3L3"
"on-provider:B66141:998064","Hill Park Adult Day School","Hamilton-Wentworth DSB","Continuing Education","465 East 16th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B66141:987117","Hill Park CI Summer School","Hamilton-Wentworth DSB","Summer","465 East 16th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B66141:997667","Hill Park Credit IL","Hamilton-Wentworth DSB","Continuing Education","465 East 16th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B66095:998877","Hodan Nalayeh Night School","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B66095:981508","Hodan Nalayeh Secondary Summer School","York Region DSB","Summer","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 1R1"
"on-provider:B29025:993778","Holy Angels Con. Ed. and Night School","Huron-Superior CDSB","Continuing Education","102 Wellington St E","Sault Ste Marie","Ontario","Canada","P6A 2L2"
"on-provider:B66095:993751","Huron Heights Night School","York Region DSB","Continuing Education","40 Huron Heights Dr","Newmarket","Ontario","Canada","L3Y 3J9"
"on-provider:B67075:988426","International Education Programs York Ca Catholic School","York CDSB","Summer","320 Bloomington Rd West","Aurora","Ontario","Canada","L4G 0M1"
"on-provider:B66079:980480","Kawartha Pine Ridge District School Summer School","Kawartha Pine Ridge DSB","Summer","1994 Fisher Dr","Peterborough","Ontario","Canada","K9J 7A1"
"on-provider:B28045:996842","Keewatin-Patricia DSB Adult Education School","Keewatin-Patricia DSB","Continuing Education","Suite 219, 100 Casimir Ave.","Dryden","Ontario","Canada","P8N 3L4"
"on-provider:B28045:994247","Keewatin-Patricia DSB Night Secondary School","Keewatin-Patricia DSB","Continuing Education","79 Casimir Ave.","Dryden","Ontario","Canada","P8N 2Z6"
"on-provider:B28045:981998","Keewatin-Patricia DSB Summer Secondary School","Keewatin-Patricia DSB","Summer","79 Casimir Ave","Dryden","Ontario","Canada","P8N 2Z6"
"on-provider:B66095:980066","Keswick Secondary Summer School","York Region DSB","Summer","100 BISCAYNE BLVD","KESWICK","Ontario","Canada","L4P 3L5"
"on-provider:B66095:994480","King City Night School","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B29106:990609","La Clef - Éducation permanente","CSDC des Grandes Rivières","Continuing Education","Suite Edifice D, 896 Riverside promenade","Timmins","Ontario","Canada","P4N 3W2"
"on-provider:B28061:990914","Lakehead Adult Education Centre","Lakehead DSB","Continuing Education","125 S. Lillie St","Thunder Bay","Ontario","Canada","P7E 2A3"
"on-provider:B28061:992127","Lakehead Board Night School","Lakehead DSB","Continuing Education","125 S Lillie St","Thunder Bay","Ontario","Canada","P7E 2A3"
"on-provider:B28061:980455","Lakehead Board of Education Summer School","Lakehead DSB","Summer","2135 Sills Street","Thunder Bay","Ontario","Canada","P7E 5T2"
"on-provider:B66036:990230","Lambton Kent A&C Ed-Adult Night","Lambton Kent DSB","Continuing Education","340 Murphy Road","Sarnia","Ontario","Canada","N7S 2X1"
"on-provider:B66036:993034","Lambton Kent Alternative & Continuing","Lambton Kent DSB","Continuing Education","1257 Michigan Avenue","Sarnia","Ontario","Canada","N7S 3Y3"
